Points Scored,FG,FG%,3P,3P%,ORB,Assists,Steals,OffRank,OppDefRank,Pace
121.0,46.0,0.511,14.0,0.4,11.0,19.0,4.0,121.1,121.1,
138.0,34.0,0.343,10.0,0.222,10.0,14.0,5.0,92.1,92.1,
110.0,41.0,0.432,7.0,0.184,17.0,24.0,7.0,109.5,109.5,
144.0,51.0,0.554,29.0,0.569,10.0,32.0,14.0,139.3,139.3,
108.0,40.0,0.392,16.0,0.39,16.0,26.0,14.0,104.6,104.6,
126.0,38.0,0.437,6.0,0.231,6.0,18.0,10.0,88.7,88.7,
125.0,43.0,0.439,17.0,0.425,6.0,27.0,9.0,112.0,112.0,
130.0,38.0,0.392,13.0,0.317,15.0,20.0,6.0,113.4,113.4,
118.0,49.0,0.505,25.0,0.472,10.0,31.0,6.0,125.5,125.5,
100.0,36.0,0.414,7.0,0.269,14.0,16.0,6.0,96.7,96.7,
121.0,46.0,0.505,13.0,0.371,11.0,25.0,15.0,123.3,123.3,
110.0,41.0,0.482,19.0,0.442,10.0,31.0,10.0,112.6,112.6,
112.0,45.0,0.464,13.0,0.361,11.0,22.0,5.0,109.4,109.4,
123.0,46.0,0.438,11.0,0.289,11.0,21.0,9.0,118.2,118.2,
106.0,41.0,0.466,19.0,0.514,6.0,25.0,8.0,114.6,114.6,
129.0,42.0,0.506,14.0,0.359,5.0,27.0,8.0,118.1,118.1,
115.0,40.0,0.43,16.0,0.364,14.0,30.0,9.0,114.8,114.8,
126.0,48.0,0.5,13.0,0.371,12.0,29.0,5.0,122.4,122.4,
114.0,40.0,0.488,18.0,0.4,8.0,22.0,6.0,114.5,114.5,
134.0,39.0,0.375,15.0,0.357,14.0,19.0,8.0,103.0,103.0,
130.0,43.0,0.453,11.0,0.324,8.0,28.0,7.0,103.4,103.4,
123.0,50.0,0.515,7.0,0.318,13.0,28.0,6.0,120.6,120.6,
124.0,47.0,0.547,16.0,0.471,6.0,25.0,10.0,127.1,127.1,
125.0,45.0,0.506,16.0,0.4,11.0,24.0,7.0,128.3,128.3,
124.0,43.0,0.506,16.0,0.432,10.0,23.0,6.0,129.7,129.7,
115.0,42.0,0.457,12.0,0.364,6.0,19.0,8.0,109.7,109.7,
109.0,45.0,0.464,13.0,0.342,12.0,24.0,9.0,108.1,108.1,
113.0,46.0,0.505,17.0,0.395,8.0,25.0,8.0,118.1,118.1,
96.0,38.0,0.487,12.0,0.343,2.0,26.0,6.0,116.3,116.3,
98.0,31.0,0.365,12.0,0.3,8.0,20.0,4.0,88.9,88.9,
128.0,44.0,0.44,12.0,0.364,14.0,29.0,6.0,109.3,109.3,
139.0,42.0,0.429,19.0,0.352,7.0,35.0,4.0,105.9,105.9,
129.0,51.0,0.5,13.0,0.333,12.0,32.0,5.0,121.9,121.9,
105.0,40.0,0.412,14.0,0.318,13.0,20.0,7.0,106.1,106.1,
97.0,53.0,0.558,11.0,0.367,9.0,28.0,10.0,133.5,133.5,
112.0,42.0,0.442,10.0,0.294,13.0,21.0,11.0,107.5,107.5,
134.0,37.0,0.42,13.0,0.351,10.0,19.0,3.0,101.6,101.6,
125.0,43.0,0.434,17.0,0.378,13.0,33.0,9.0,112.6,112.6,
133.0,52.0,0.553,11.0,0.393,9.0,29.0,6.0,123.3,123.3,
109.0,41.0,0.406,9.0,0.231,12.0,22.0,11.0,92.4,92.4,
120.0,46.0,0.479,12.0,0.364,5.0,29.0,6.0,109.5,109.5,
140.0,45.0,0.405,12.0,0.24,11.0,27.0,8.0,105.6,105.6,
121.0,45.0,0.479,19.0,0.404,9.0,24.0,9.0,120.3,120.3,
114.0,43.0,0.489,22.0,0.468,8.0,27.0,10.0,121.8,121.8,
96.0,40.0,0.43,16.0,0.364,12.0,28.0,9.0,109.1,109.1,
105.0,38.0,0.469,11.0,0.367,5.0,18.0,8.0,109.9,109.9,
112.0,42.0,0.532,14.0,0.538,7.0,23.0,13.0,109.8,109.8,
127.0,49.0,0.544,12.0,0.308,4.0,25.0,7.0,118.9,118.9,
129.0,50.0,0.538,11.0,0.355,12.0,31.0,10.0,127.3,127.3,
121.0,44.0,0.512,14.0,0.438,6.0,25.0,7.0,120.3,120.3,
101.0,38.0,0.38,12.0,0.364,14.0,16.0,8.0,102.4,102.4,
119.0,44.0,0.484,19.0,0.38,13.0,35.0,4.0,119.2,119.2,
124.0,46.0,0.489,19.0,0.475,12.0,28.0,8.0,126.5,126.5,
130.0,46.0,0.469,19.0,0.475,7.0,26.0,14.0,116.3,116.3,
120.0,46.0,0.484,16.0,0.372,14.0,25.0,8.0,126.9,126.9,
115.0,51.0,0.548,15.0,0.375,7.0,31.0,10.0,126.3,126.3,
127.0,51.0,0.481,17.0,0.405,8.0,28.0,7.0,115.8,115.8,
124.0,46.0,0.505,12.0,0.444,7.0,27.0,7.0,118.3,118.3,
132.0,31.0,0.378,7.0,0.226,10.0,15.0,11.0,92.0,92.0,
104.0,39.0,0.481,8.0,0.286,4.0,20.0,6.0,105.0,105.0,
114.0,47.0,0.505,9.0,0.257,9.0,28.0,13.0,112.0,112.0,
136.0,49.0,0.527,16.0,0.41,8.0,27.0,12.0,126.0,126.0,
108.0,42.0,0.467,9.0,0.36,8.0,24.0,5.0,109.3,109.3,
117.0,41.0,0.427,17.0,0.405,14.0,18.0,5.0,110.5,110.5,
124.0,41.0,0.488,20.0,0.465,6.0,21.0,6.0,115.6,115.6,
135.0,47.0,0.49,8.0,0.364,11.0,27.0,6.0,123.8,123.8,
141.0,48.0,0.5,25.0,0.472,7.0,36.0,10.0,121.7,121.7,
125.0,47.0,0.5,13.0,0.317,8.0,26.0,6.0,121.8,121.8,
114.0,39.0,0.415,10.0,0.333,10.0,18.0,6.0,98.8,98.8,
142.0,54.0,0.574,11.0,0.367,10.0,34.0,5.0,131.7,131.7,
125.0,37.0,0.374,10.0,0.303,13.0,26.0,6.0,89.6,89.6,
123.0,41.0,0.539,15.0,0.517,9.0,21.0,5.0,129.2,129.2,
104.0,35.0,0.427,17.0,0.362,6.0,23.0,4.0,101.4,101.4,
111.0,42.0,0.429,10.0,0.345,16.0,20.0,10.0,106.0,106.0,
145.0,47.0,0.475,18.0,0.391,17.0,27.0,5.0,132.5,132.5,
96.0,43.0,0.462,16.0,0.41,10.0,24.0,8.0,117.2,117.2,
122.0,43.0,0.413,12.0,0.364,13.0,27.0,9.0,113.9,113.9,
130.0,33.0,0.384,11.0,0.324,9.0,17.0,6.0,93.8,93.8,
122.0,41.0,0.471,9.0,0.346,4.0,23.0,6.0,99.4,99.4,
110.0,38.0,0.469,14.0,0.452,4.0,26.0,6.0,106.5,106.5,
116.0,49.0,0.544,15.0,0.385,3.0,24.0,12.0,124.1,124.1,
122.0,44.0,0.5,18.0,0.486,9.0,28.0,12.0,121.0,121.0,
116.0,44.0,0.484,16.0,0.4,12.0,29.0,3.0,127.4,127.4,
122.0,44.0,0.463,14.0,0.304,9.0,28.0,13.0,112.2,112.2,
125.0,46.0,0.438,11.0,0.289,11.0,21.0,9.0,118.2,118.2,
135.0,48.0,0.453,15.0,0.366,13.0,30.0,8.0,114.9,114.9,
113.0,42.0,0.483,14.0,0.326,6.0,23.0,5.0,116.7,116.7,
128.0,42.0,0.472,13.0,0.283,2.0,29.0,7.0,119.9,119.9,
98.0,31.0,0.369,11.0,0.256,8.0,20.0,3.0,90.9,90.9,
132.0,52.0,0.531,11.0,0.344,11.0,29.0,7.0,133.9,133.9,
147.0,57.0,0.57,19.0,0.422,10.0,33.0,7.0,139.3,139.3,
146.0,50.0,0.568,19.0,0.528,7.0,33.0,6.0,129.6,129.6,
124.0,45.0,0.455,15.0,0.417,11.0,21.0,12.0,120.1,120.1,
117.0,49.0,0.505,13.0,0.406,12.0,22.0,10.0,123.8,123.8,
108.0,39.0,0.443,15.0,0.366,8.0,21.0,6.0,105.8,105.8,
111.0,43.0,0.5,11.0,0.367,8.0,30.0,8.0,114.0,114.0,
104.0,36.0,0.391,15.0,0.395,10.0,26.0,4.0,102.4,102.4,
134.0,50.0,0.538,16.0,0.41,8.0,35.0,9.0,126.5,126.5,
136.0,51.0,0.573,27.0,0.574,9.0,31.0,7.0,139.5,139.5,
128.0,47.0,0.573,20.0,0.5,4.0,28.0,4.0,136.3,136.3,
109.0,38.0,0.494,18.0,0.462,8.0,23.0,9.0,118.5,118.5,
112.0,44.0,0.478,11.0,0.289,9.0,21.0,10.0,118.9,118.9,
127.0,45.0,0.517,15.0,0.484,5.0,25.0,6.0,117.1,117.1,
129.0,35.0,0.402,9.0,0.25,4.0,19.0,8.0,88.3,88.3,
98.0,45.0,0.523,14.0,0.389,6.0,23.0,12.0,121.5,121.5,
124.0,47.0,0.47,17.0,0.415,13.0,35.0,6.0,124.8,124.8,
